ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Project,Metadata_Series,Metadata_Well,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,34,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,723.7476635514018,601.7850467289719,0,34
1,35,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,846.1875,608.5347222222222,0,35
1,36,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,949.4057971014493,626.2028985507246,0,36
1,37,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1600.6993006993007,633.6503496503497,0,37
1,38,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,906.6030150753769,702.4214824120603,0,38
1,39,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,531.6654411764706,643.8823529411765,0,39
1,40,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,752.0643274853801,702.5497076023391,0,40
1,41,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1684.204081632653,668.7755102040817,0,41
1,42,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1180.3756345177665,731.8426395939086,0,42
1,43,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1520.3015075376884,729.8894472361809,0,43
1,44,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1613.2818181818182,733.5363636363636,0,44
1,45,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1218.5320512820513,775.4615384615385,0,45
1,46,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,238.95967741935485,798.9516129032259,0,46
1,47,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1594.6927083333333,802.2291666666666,0,47
1,48,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1864.4216005204944,835.2914769030579,0,48
1,49,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1466.119718309859,825.5774647887324,0,49
1,50,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1054.7469135802469,827.2222222222222,0,50
1,51,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1638.89,832.91,0,51
1,52,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1771.6716417910447,875.9502487562189,0,52
1,53,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1010.1084337349398,879.6144578313254,0,53
1,54,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1913.2168674698796,889.7469879518072,0,54
1,55,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,476.558,915.4953333333333,0,55
1,56,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1764.53,904.915,0,56
1,57,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1156.3776223776224,931.0,0,57
1,58,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1689.4848484848485,930.3131313131313,0,58
1,59,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1790.9894736842105,951.2631578947369,0,59
1,60,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1382.4848484848485,952.1818181818181,0,60
1,61,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,211.53513513513514,989.5405405405405,0,61
1,62,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,313.1665671641791,1065.8471641791045,0,62
1,63,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1701.2040609137057,1020.8253807106599,0,63
1,64,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,699.0989010989011,1008.5934065934066,0,64
1,65,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,138.53781512605042,1021.1008403361344,0,65
1,66,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,306.9,1027.75,0,66
1,67,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1027.6587301587301,1047.5555555555557,0,67
1,68,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1107.9827586206898,1046.9741379310344,0,68
1,69,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1944.4392523364486,1047.7570093457944,0,69
1,70,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1260.9444444444443,1094.076388888889,0,70
1,71,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,284.3022508038585,1112.475884244373,0,71
1,72,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,414.67713004484307,1113.4529147982062,0,72
1,73,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1849.774193548387,1156.1075268817203,0,73
1,74,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,371.04545454545456,1158.1704545454545,0,74
1,75,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,564.7343283582089,1161.35223880597,0,75
1,76,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,926.3867924528302,1171.1415094339623,0,76
1,77,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,517.4769230769231,1217.1562130177515,0,77
1,78,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1724.5714285714287,1232.0714285714287,0,78
1,79,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,992.3048780487804,1302.7560975609756,0,79
1,80,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,690.0,1346.5353773584907,0,80
1,81,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,910.2464454976304,1358.5402843601896,0,81
1,82,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1586.3,1358.2666666666667,0,82
1,83,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,761.8461538461538,1380.4981684981685,0,83
1,84,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,800.6859903381643,1399.6859903381642,0,84
1,85,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1736.1415094339623,1425.7830188679245,0,85
1,86,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1057.340909090909,1436.6439393939395,0,86
1,87,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1820.6534653465346,1442.1089108910892,0,87
1,88,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1135.6483516483515,1456.7032967032967,0,88
1,89,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,975.3526570048309,1470.5314009661836,0,89
1,90,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,531.828323699422,1541.5086705202311,0,90
1,91,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1639.857142857143,1476.7619047619048,0,91
1,92,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,687.9764705882353,1497.0117647058823,0,92
1,93,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1605.9240506329113,1506.632911392405,0,93
1,94,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1702.2611940298507,1527.455223880597,0,94
1,95,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1375.839944328462,1614.3806541405706,0,95
1,96,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1193.9827586206898,1588.0775862068965,0,96
1,97,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,421.7151515151515,1598.3939393939395,0,97
1,98,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1489.4615384615386,1604.4871794871794,0,98
1,99,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1011.9521276595744,1619.872340425532,0,99
1,100,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1004.0206766917294,1695.1190476190477,0,100
1,101,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1191.4938271604938,1634.5740740740741,0,101
1,102,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,902.010582010582,1639.6719576719577,0,102
1,103,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1039.0802919708028,1646.3503649635036,0,103
1,104,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,748.1089108910891,1689.519801980198,0,104
1,105,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,424.54615384615386,1748.6461538461538,0,105
1,106,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,955.5744680851063,1743.063829787234,0,106
1,107,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,904.4213483146067,1750.926966292135,0,107
1,108,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1114.7222222222222,1752.911111111111,0,108
1,109,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,838.25,1758.5882352941176,0,109
1,110,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,745.5035460992908,1836.723404255319,0,110
1,111,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1324.3566433566434,1865.986013986014,0,111
1,112,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1103.076923076923,1879.2735042735044,0,112
1,113,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,1187.8203125,1891.734375,0,113
1,114,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,662.9548387096775,1904.9290322580646,0,114
1,115,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,766.4109090909091,1936.898181818182,0,115
