ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Project,Metadata_Series,Metadata_Well,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_RawBF,Intensity_IntegratedIntensity_RawBF,Intensity_LowerQuartileIntensity_RawBF,Intensity_MADIntensity_RawBF,Intensity_MassDisplacement_RawBF,Intensity_MaxIntensityEdge_RawBF,Intensity_MaxIntensity_RawBF,Intensity_MeanIntensityEdge_RawBF,Intensity_MeanIntensity_RawBF,Intensity_MedianIntensity_RawBF,Intensity_MinIntensityEdge_RawBF,Intensity_MinIntensity_RawBF,Intensity_StdIntensityEdge_RawBF,Intensity_StdIntensity_RawBF,Intensity_UpperQuartileIntensity_RawBF,Location_CenterMassIntensity_X_RawBF,Location_CenterMassIntensity_Y_RawBF,Location_CenterMassIntensity_Z_RawBF,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_RawBF,Location_MaxIntensity_Y_RawBF,Location_MaxIntensity_Z_RawBF,Number_Object_Number,Worm_Angle_1,Worm_Angle_10,Worm_Angle_11,Worm_Angle_12,Worm_Angle_13,Worm_Angle_14,Worm_Angle_15,Worm_Angle_16,Worm_Angle_17,Worm_Angle_18,Worm_Angle_19,Worm_Angle_2,Worm_Angle_3,Worm_Angle_4,Worm_Angle_5,Worm_Angle_6,Worm_Angle_7,Worm_Angle_8,Worm_Angle_9,Worm_ControlPointX_1,Worm_ControlPointX_10,Worm_ControlPointX_11,Worm_ControlPointX_12,Worm_ControlPointX_13,Worm_ControlPointX_14,Worm_ControlPointX_15,Worm_ControlPointX_16,Worm_ControlPointX_17,Worm_ControlPointX_18,Worm_ControlPointX_19,Worm_ControlPointX_2,Worm_ControlPointX_20,Worm_ControlPointX_21,Worm_ControlPointX_3,Worm_ControlPointX_4,Worm_ControlPointX_5,Worm_ControlPointX_6,Worm_ControlPointX_7,Worm_ControlPointX_8,Worm_ControlPointX_9,Worm_ControlPointY_1,Worm_ControlPointY_10,Worm_ControlPointY_11,Worm_ControlPointY_12,Worm_ControlPointY_13,Worm_ControlPointY_14,Worm_ControlPointY_15,Worm_ControlPointY_16,Worm_ControlPointY_17,Worm_ControlPointY_18,Worm_ControlPointY_19,Worm_ControlPointY_2,Worm_ControlPointY_20,Worm_ControlPointY_21,Worm_ControlPointY_3,Worm_ControlPointY_4,Worm_ControlPointY_5,Worm_ControlPointY_6,Worm_ControlPointY_7,Worm_ControlPointY_8,Worm_ControlPointY_9,Worm_Length
1,8,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,246,714,1689,513,1668,479,1675.2520325203252,493.6056910569106,2.443494698396532,0.959617457598546,17.697935698969246,1,0.3445378151260504,0.40924991597330623,38.83674458932172,36.24913792078372,4.0,2.0248953450360228,2.0,11.396636225717252,10.92509690145022,-0.4498213921262484,86.91168824543142,0.7256637168141593,2.683100637048483,8.603265462443233,0.03335622325539589,0.0016174539923667908,0.09010749927766669,0.04005493223667145,0.04005493223667145,0.03675480324723949,0.034972623831070054,0.03472953289747238,0.0321965366601944,0.029678797349333763,0.0018591204673988105,0.0022647435362099,0.03657587617635727,1675.1813857222544,493.6616230812653,0.0,1675.2520325203252,493.6056910569106,1669.0,497.0,0.0,8,0.4066638553779618,0.5330363556975128,-0.5689925826585802,0.5623694641233707,-0.5565296381380196,0.3660998457839828,-0.1913114188240641,-0.18062825294526985,-0.1741145333578551,-0.2046484072974475,0.3787629406553026,-0.2647668007737698,-1.1501910535116622e-13,-0.0761048907199493,-0.14314547904292407,-0.23220197071976623,0.7069000152630376,-0.3973447293845158,-0.7494419364363809,1687.0,1674.0701010126777,1674.0,1673.0,1673.0,1672.0115223689152,1672.0,1671.3357864376271,1671.0,1671.0,1671.324264068712,1685.601471862576,1672.0,1672.0,1683.8982337649088,1682.3159797974645,1680.7337258300204,1679.25,1678.0,1677.1600505063388,1675.4686291501016,480.0,490.92989898732236,492.87867965644034,494.4422835533725,496.42010101267766,497.98847763108506,499.961522368915,501.6642135623731,503.50294372515225,505.4807611844575,507.32426406871195,481.3985281374238,509.02218254069476,511.0,482.07632467631856,483.26301515190164,484.44970562748483,485.75,487.2100505063388,488.83994949366115,489.53137084989845,39.55634918610404
1,9,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,563,2150,1444,627,1419,541,1434.1758436944938,584.728241563055,5.217338474181242,0.9940927887288384,26.77375326109316,1,0.2618604651162791,0.1916686074611884,92.39418580752003,87.80091115700337,4.0,2.073119106868743,2.0,11.713600047514511,10.027867249137088,-0.20955005164935125,192.12489168102786,0.704630788485607,5.7234302163124084,17.981902845203876,0.02730601979419589,0.004608225077390671,0.7846057017543148,0.04319829121232033,0.04319829121232033,0.03347035214217783,0.03193943666998912,0.031212329864501953,0.02075226977467537,0.01873807981610298,0.005765474733845211,0.006013830081670568,0.03669031709432602,1433.8209189413326,585.4279804620872,0.0,1434.1758436944938,584.728241563055,1435.0,564.0,0.0,9,0.0,-7.549516567451064e-15,7.549516567451064e-15,-3.774758283725532e-15,-0.022037512647655744,0.3798558831715264,0.0,0.0,0.0,0.14195428901412033,-0.02925232955980217,3.774758283725532e-15,-3.774758283725532e-15,0.0,0.0,0.0,0.0,0.0,3.774758283725532e-15,1442.0,1436.1513023603686,1435.5014470670762,1434.8515917737839,1434.2017364804915,1433.5518811871991,1433.0,1431.0,1429.0,1427.0,1425.0,1441.3501447067076,1422.4411142060067,1420.0,1440.7002894134152,1440.0504341201229,1439.4005788268305,1438.7507235335381,1438.1008682402457,1437.4510129469534,1436.801157653661,542.0,581.6411728908352,586.0457476564834,590.4503224221319,594.8548971877801,599.2594719534285,603.6712354062336,607.2950650989235,610.9188947916134,614.5427244843033,618.1665541769933,546.4045747656484,621.5588857939935,625.0,550.8091495312967,555.213724296945,559.6182990625933,564.0228738282417,568.4274485938901,572.8320233595384,577.2365981251868,89.04513634872218
1,10,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,657,1500,1446,593,1431,493,1438.0517503805174,542.4931506849315,5.6628906005779935,0.9922438112762205,28.92262748940701,1,0.438,0.17658826040148703,105.74435598241874,99.00505037623081,4.0,2.1081838574604306,2.0,13.643602272765436,13.1447588677185,-0.004010052829973552,216.22539674441617,0.6397273612463485,6.499259950593114,21.115816071629524,0.02539101243019104,0.006546120159327984,0.8439181349956792,0.04275577887892723,0.04319829121232033,0.03282454520501573,0.03213975048954266,0.03280689753592014,0.019684137776494026,0.01873807981610298,0.006575014794714469,0.00702413269185133,0.038803692907094955,1437.5850082242798,541.7900507075703,0.0,1438.0517503805174,542.4931506849315,1435.0,564.0,0.0,10,-0.09202184799353952,0.1572605883583018,0.0013946738280772308,1.3766765505351941e-14,2.930988785010413e-14,-2.930988785010413e-14,-1.3766765505351941e-14,5.3512749786932545e-14,-4.3076653355456074e-14,3.6193270602780103e-14,0.36854783428844695,-0.03676745007666349,0.12878929807020056,7.105427357601002e-15,-4.6629367034256575e-15,0.0,0.0,0.0,0.20558684295578922,1432.0,1442.0,1442.0,1441.1841951910192,1440.3611254687514,1439.5380557464837,1438.7149860242157,1437.891916301948,1437.0688465796802,1436.2457768574122,1435.4227071351445,1433.0,1434.5996374128765,1433.0,1434.4177610581967,1436.0,1437.0,1438.0,1439.0,1440.0,1441.0,494.0,536.7444015321257,541.9540167716654,547.0987800561295,552.2429658203037,557.3871515844774,562.5313373486515,567.6755231128252,572.8197088769994,577.9638946411732,583.108080405347,498.7954016771665,588.252266169521,591.0,503.4177610581967,507.9719914691265,512.767393146293,517.5627948234596,522.3581965006261,527.1535981777927,531.9489998549592,104.1923047907927
1,11,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,274,352,1447,585,1439,541,1442.0985401459855,563.1934306569343,2.555264704074129,0.9861235641738253,18.677998695187732,1,0.7784090909090909,0.3913488878101725,46.230378249360896,43.104524124504614,4.0,2.106546548587458,2.0,6.854345735730478,7.674843785997525,0.014634098209658037,93.79898987322333,0.9163879598662207,2.5007095523178577,7.649820733815432,0.024826427921652794,0.0028229206800460815,1.043679784199022,0.03964293748140335,0.040161747485399246,0.02841715400361202,0.02791905377304902,0.02703898772597313,0.019394217059016228,0.01873807981610298,0.00433236526773014,0.004511862869703351,0.030327306129038334,1442.2347451113717,564.2281845887219,0.0,1442.0985401459855,563.1934306569343,1443.0,576.0,0.0,11,1.0835776720341528e-13,1.0702549957386509e-13,-1.0835776720341528e-13,0.0,1.3322676295501878e-15,0.0,0.0,1.056932319443149e-13,-2.1294077612310502e-13,-0.15815709486271823,-0.8577455412573016,-1.0702549957386509e-13,-1.0724754417879012e-13,1.0591527654923993e-13,1.0835776720341528e-13,-1.0835776720341528e-13,-1.0591527654923993e-13,2.1294077612310502e-13,-1.056932319443149e-13,1442.0,1442.4771514190836,1442.5301682434263,1442.5831850677687,1442.6362018921113,1442.689218716454,1442.7422355407966,1442.7952523651393,1442.848269189482,1442.9012860138243,1442.9543028381672,1442.0530168243426,1443.29287798188,1445.0,1442.106033648685,1442.1590504730277,1442.2120672973706,1442.2650841217132,1442.3181009460557,1442.3711177703983,1442.4241345947412,542.0,561.0860567633429,563.2067297370477,565.3274027107525,567.4480756844572,569.5687486581619,571.6894216318667,573.8100946055715,575.9307675792763,578.051440552981,580.1721135266858,544.1206729737047,582.0,583.0,546.2413459474095,548.3620189211143,550.4826918948191,552.6033648685238,554.7240378422287,556.8447108159334,558.9653837896382,42.4267116098582
1,12,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,171,320,1758,517,1738,501,1748.122807017544,509.56140350877195,1.8477500338922868,0.8360419302628134,14.755472278097805,1,0.534375,0.5411987453159447,22.806710117209118,20.615528128088304,4.0,1.9813995799212836,2.0,12.77453244722808,12.513256255847748,-1.1492131546277975,63.012193308819754,0.7702702702702703,1.5466544516384602,4.90493630617857,0.026543069165199995,0.002075226977467537,0.15731329374740038,0.03517204523086548,0.03517204523086548,0.030326557875263924,0.028683838047827894,0.02865644358098507,0.024277104064822197,0.022827496752142906,0.0027501975590450336,0.0028016559385898735,0.030674448236823082,1747.97304047706,509.5132635488513,0.0,1748.122807017544,509.56140350877195,1748.0,509.0,0.0,12,-3.4150460237469815e-13,0.36616870817545166,0.22183389537220988,0.0,0.502821467778122,-0.174476190710958,0.6139175687099634,0.16488587201694394,0.0,0.2284986251515022,0.23514898384932303,1.8962609260597674e-13,-0.30799520617497267,0.5683093300026525,-0.5326833399136897,0.5529130701788181,-0.45255397808319375,0.6911562382369649,-1.8829382497642655e-13,1756.0,1750.5388816892996,1749.424247816739,1748.1702592252893,1746.8306360316603,1745.491012838031,1744.3999418629717,1743.225980013146,1742.5019636291522,1741.9028659241142,1741.3037682190761,1755.4009022949617,1741.0,1741.0,1754.801804589924,1754.2027068848859,1754.0,1753.1331012191051,1752.892951355842,1752.0,1751.6535155618608,502.0,511.9740788738002,512.7171681221741,513.0,513.0,513.0,512.3999418629716,512.0,511.0039272583043,509.8057318482283,508.60753643815224,503.198195410076,507.3396231936291,506.0,504.3963908201521,505.59458623022806,506.88635681951695,507.86689878089476,509.1070486441581,510.0767992756581,511.2309896254262,26.792463872582434
1,13,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,146,242,1011,534,1000,512,1005.9041095890411,523.1164383561644,1.65554362876494,0.9283931577264831,13.63425735166143,1,0.6033057851239669,0.6040311971397666,23.17100340448261,21.840329667841555,4.0,1.9947876816045342,2.0,8.730378697119727,8.610331916728052,-0.1751005746486499,55.112698372208094,0.8488372093023255,1.8378576450049877,5.584878325462341,0.03691920265555382,0.0015869364142417908,0.04076746459281741,0.04313725605607033,0.04313725605607033,0.03995342706532582,0.03825259127029001,0.03814755380153656,0.03631647303700447,0.03376821428537369,0.0017727385964559188,0.0021174993301236993,0.0400015264749527,1005.904266334083,523.157205519425,0.0,1005.9041095890411,523.1164383561644,1010.0,525.0,0.0,13,-1.438849039914203e-13,0.43562250674270797,0.0,0.604235345405832,-0.20462004573177972,-0.3996152996740523,0.5561116957779939,0.22928646761945437,0.12113029614215876,0.46178899997158673,-0.5829192961137455,-0.36359015712767206,0.027612628297038366,0.10669106121125127,-0.5561116957779939,0.0,0.0,-0.5695476022068624,0.13392509546415443,1009.0,1006.5646446609408,1007.0,1007.0,1007.0,1006.4010407640086,1006.0,1006.0,1005.4485281374239,1004.6596194077713,1003.8171572875253,1008.2110912703473,1002.7889087296526,1002.0,1007.4221825406947,1007.0,1006.5514718625761,1006.0,1006.0,1006.0,1006.0,514.0,522.5646446609408,523.5,524.6156854249492,525.7313708498984,526.5989592359914,527.5485281374238,528.6642135623731,529.5514718625761,530.3403805922287,531.0,514.7889087296526,531.2110912703474,532.0,515.5778174593053,516.5186291501016,517.4485281374239,518.3357864376269,519.4514718625761,520.5671572875253,521.6828427124747,22.313708498984763
1,14,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,433,2460,1213,653,1153,612,1181.849884526559,633.1362586605081,4.26335426445915,0.9949478188658575,23.480049464818542,1,0.17601626016260163,0.23455709705767555,74.93396921854146,70.178344238091,3.605551275463989,1.989505894194653,2.0,7.091105963372976,7.522877053944974,0.957539170086273,152.3086578651014,0.8818737270875764,4.022110339254141,14.108873158693314,0.02924010157585144,0.00322728231549263,1.5755018568323245,0.04242008179426193,0.04255741089582443,0.033517586160451175,0.03258400267596608,0.032471198588609695,0.0240024421364069,0.0240024421364069,0.0045247870150672085,0.0043247667270445425,0.035645075142383575,1183.197716920305,633.9520735532692,0.0,1181.849884526559,633.1362586605081,1209.0,650.0,0.0,14,0.0,-0.1654532023735571,-1.291189377639057e-13,0.0,6.45039577307216e-14,3.652633751016765e-14,0.05422526748738943,0.10643505471957437,-0.23173242582396836,-0.1645416878029049,-0.0947991686374007,0.0,0.02755521309691955,-0.0754851391285909,0.21000654021331755,-0.21000654021335396,-0.010545098864289448,0.07865458447344464,0.09734371676450293,1154.0,1179.0923584302934,1181.750631192525,1184.5964049898957,1187.442178787267,1190.2879525846383,1193.1337263820094,1195.9795001793802,1198.7529000882225,1201.3781545553093,1204.3166825133603,1156.781891212569,1207.4974767419164,1211.0,1159.563782425138,1162.345673637707,1165.0902019706712,1167.9359757680422,1170.4888563465997,1173.334630143971,1176.2041037604413,613.0,631.31926882272,633.7506311925247,635.596404989896,637.442178787267,639.2879525846381,641.1337263820093,642.9795001793805,645.0,647.3781545553093,649.0,615.0,650.124369185479,651.0,617.0,619.0,621.090201970671,622.9359757680422,625.4888563465998,627.334630143971,629.153077820331,72.20636674630285
1,15,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,435,2596,1152,614,1093,570,1121.3379310344828,592.5632183908046,4.348258739214857,0.9945914509913589,23.534213434057992,1,0.16756548536209553,0.22997711497282358,75.7974995842598,71.02816342831905,3.605551275463989,1.9879881114887379,2.0,8.2,7.872673502238912,0.9277480704562541,154.17261889578032,0.8223062381852552,3.870634028688073,14.39673462510109,0.02667277120053768,0.00631723552942276,2.99766575740555,0.03997863829135895,0.043717097491025925,0.03225528357240061,0.033095941666899054,0.033890288323163986,0.023147936910390854,0.021622033789753914,0.004948380505071049,0.006497411780747313,0.0395895317196846,1118.9663684971324,590.7297268788096,0.0,1121.3379310344828,592.5632183908046,1119.0,590.0,0.0,15,-0.3237407223374807,-2.5979218776228663e-14,-0.20548819602965263,0.1719319806778482,-0.355709264122705,0.1837772834448208,0.0,-0.0032094332900570732,-0.21602326406478256,0.21923269735483963,0.0,0.4029009904996013,-0.22886849571073986,0.14298605926906605,-0.19876602775011365,0.20548819602966684,-0.20548819602963087,-7.183142969324763e-14,0.20548819602975044,1094.0,1118.8193722376684,1121.0111504149834,1123.6171421546717,1126.516027113173,1129.1725607165818,1132.3137970301766,1135.2126819886782,1138.1115669471799,1141.0147812267676,1144.2022300829967,1096.6059917396883,1147.1011150414984,1150.0,1099.770783611451,1102.0,1104.8949608445603,1107.5167256224752,1110.4156105809768,1113.0216023206651,1115.9204872791665,571.0,590.8193722376683,593.0111504149834,595.6171421546717,597.5160271131733,600.0,601.3137970301766,603.2126819886782,605.1115669471799,607.0,608.2022300829967,573.6059917396882,610.1011150414984,612.0,575.180522407634,577.7938810601415,579.9299738963734,582.5167256224752,584.4156105809768,587.021602320665,588.9204872791667,73.70857723398625
1,16,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,299,900,1368,591,1323,571,1345.23745819398,579.685618729097,2.896698154597375,0.9867880858594167,19.511499785403828,1,0.3322222222222222,0.34522064317018714,49.09362463699556,46.8187996428785,4.0,2.0423401958039284,2.0,7.58946638440411,7.9539662264527315,1.2223070465765624,104.32590180780451,0.8846153846153846,3.64364081248641,11.611688431352377,0.037056535482406616,0.0017624199390411377,0.23865373997244674,0.04437323659658432,0.04437323659658432,0.04093978440995966,0.03883507836572701,0.038735028356313705,0.035996031016111374,0.03317311406135559,0.0019437247179716717,0.002340421572863793,0.04059281200170517,1345.0153277547192,579.598362350782,0.0,1345.23745819398,579.685618729097,1343.0,582.0,0.0,16,-0.844243783864755,0.43533433085636025,-4.340972026284362e-14,-0.13714710580172162,0.15667730354561038,-0.3294806742355611,0.329480674235562,-4.596323321948148e-14,0.3136673538537992,-0.6431480280892674,0.6431480280892674,1.190637966194191,-0.7153369511910326,0.38213939959349813,-0.21590951972323622,-0.038049016616662074,0.2539585363398983,-0.019575742735489565,-0.4157585881208707,1324.0,1342.9585786437628,1345.414213562373,1347.4727922061356,1349.5313708498984,1351.7100505063388,1353.7514718625762,1356.085786437627,1358.127207793864,1360.1686291501017,1361.9171572875255,1326.0414213562374,1364.2514718625762,1366.0,1328.0828427124745,1329.8313708498986,1332.2343145750508,1334.2928932188133,1336.5414213562372,1338.824264068712,1340.8828427124745,573.0,578.9585786437627,579.0,580.0,581.0,581.7100505063388,582.7514718625762,583.0857864376269,584.1272077938642,585.1686291501015,586.9171572875254,573.9585786437627,587.2514718625762,589.0,573.0828427124746,574.8313708498985,575.0,576.0,576.5414213562374,577.0,578.0,49.455844122715696
1,17,20210129,file:/Users/tim/repos/CP_issues/short_worms/input/20210129-toxin16A-p02-m2X_A09.TIF,0,02,toxin16A,0,A09,350,660,942,584,887,572,913.4257142857143,576.4514285714286,3.361822741523363,0.9873268511792515,21.11004122822376,1,0.5303030303030303,0.2974576820034432,57.02361035725213,54.230987451824994,4.0,2.0780716630481066,2.0,9.336290584950552,9.049646773341319,-1.506394159793378,121.59797974644665,0.7743362831858407,4.383031971752644,13.407324336469173,0.037056535482406616,0.0012970194220542908,0.027641783746380735,0.04325932636857033,0.04325932636857033,0.0398457451977513,0.038306640961340496,0.03819333016872406,0.033936064690351486,0.0320439450442791,0.0019278254907203409,0.0019778187566572014,0.0395895317196846,913.4475074776732,576.4344248955634,0.0,913.4257142857143,576.4514285714286,912.0,572.0,0.0,17,0.532154806460835,0.2708174455004659,-0.49353473853075686,0.2645800124034504,0.3753505797044805,-0.4960733067850273,0.2701548395681234,-0.14943211248757657,0.12798018685693302,0.10559268950793105,-0.23357287636486407,0.0240928817884907,-0.17617772827536235,1.5265566588595902e-14,0.3753505797044805,0.0,-0.3753505797044805,0.044594573450755515,0.28889328688056554,888.0,910.8874368670765,912.9748737341529,915.6480970388562,918.0402020253553,920.9922835533724,923.5301515190165,926.3409902576698,928.6058874503045,931.5579689783217,934.3606601717797,890.1236544032708,937.0479184719829,940.0,892.4677669529664,894.785176772186,897.32304473783,899.860912703474,902.8129942314911,905.7650757595082,908.3029437251523,582.0,575.1125631329235,575.0251262658471,575.6480970388562,575.0,575.0,576.0,575.6590097423302,576.0,576.0,576.3606601717798,580.0,577.0,577.0,579.4677669529664,579.0,578.0,577.0,577.0,577.0,576.0,59.041630560342604
